bee_species,bee_sex,plant_species
Bombus hypnorum,M,Arctium minus
Bombus pratorum,M,Arctium minus
Bombus pratorum,M,Arctium minus
Bombus pascuorum,F,Ballota nigra
Bombus hortorum,M,Ballota nigra
Bombus pascuorum,F,Ballota nigra
Bombus pascuorum,F,Ballota nigra
Bombus pascuorum,F,Ballota nigra
Bombus pascuorum,F,Ballota nigra
Bombus pascuorum,F,Ballota nigra
Bombus pascuorum,F,Ballota nigra
Bombus pascuorum,F,Ballota nigra
Bombus pascuorum,F,Ballota nigra
Bombus pascuorum,M,Ballota nigra
Bombus terrestris,M,Buddleja davidii
Bombus terrestris,M,Buddleja davidii
Bombus terrestris,M,Buddleja davidii
Bombus terrestris,F,Buddleja davidii
Bombus terrestris,F,Buddleja davidii
Bombus pascuorum,F,Calystegia silvatica
Bombus hortorum,F,Calystegia silvatica
Bombus terrestris,M,Calystegia silvatica
Bombus pascuorum,M,Calystegia silvatica
Bombus pascuorum,M,Calystegia silvatica
Bombus pascuorum,F,Calystegia silvatica
Bombus hortorum,M,Calystegia silvatica
Bombus hortorum,M,Calystegia silvatica
Bombus hortorum,F,Calystegia silvatica
Bombus hortorum,M,Calystegia silvatica
Bombus pratorum,F,Campanula latifolia
Bombus lapidarius.,F,Cardamine pratensis
Bombus lapidarius.,F,Centaurea nigra
Bombus lapidarius.,F,Centaurea nigra
Bombus lucorum,F,Centaurea nigra
Bombus pratorum,F,Centaurea nigra
Bombus pascuorum,M,Centaurea nigra
Bombus terrestris,F,Centaurea nigra
Bombus terrestris,M,Centaurea nigra
Bombus pascuorum,F,Centaurea nigra
Bombus pascuorum,M,Centaurea nigra
Bombus pascuorum,M,Centaurea nigra
Bombus lucorum,M,Centaurea nigra
Bombus pascuorum,F,Centaurea nigra
Bombus pascuorum,F,Centaurea nigra
Bombus terrestris,F,Centaurea nigra
Bombus terrestris,M,Centaurea nigra
Bombus lapidarius.,F,Centaurea nigra
Bombus pascuorum,M,Centaurea nigra
Bombus lapidarius.,M,Centaurea nigra
Bombus terrestris,F,Centaurea nigra
Bombus terrestris,M,Centaurea nigra
Bombus lapidarius.,F,Centaurea nigra
Bombus lapidarius.,F,Centaurea nigra
Bombus pascuorum,F,Centaurea nigra
Bombus terrestris,M,Centaurea nigra
Bombus lapidarius.,F,Centaurea nigra
Bombus pascuorum,F,Centaurea nigra
Bombus lapidarius.,F,Centaurea nigra
Bombus terrestris,M,Centaurea nigra
Bombus lapidarius.,F,Centaurea nigra
Bombus hypnorum,F,Centaurea nigra
Bombus terrestris,F,Centaurea nigra
Bombus terrestris,F,Centaurea nigra
Bombus pascuorum,F,Centaurea nigra
Bombus lucorum,M,Centaurea nigra
Bombus pascuorum,F,Centaurea nigra
Bombus lapidarius.,M,Centaurea nigra
Bombus hortorum,F,Centranthus ruber
Bombus hortorum,M,Centranthus ruber
Bombus terrestris,M,Cirsium arvense
Bombus pascuorum,F,Cirsium arvense
Bombus lucorum,M,Cirsium arvense
Bombus lapidarius.,M,Cirsium arvense
Bombus terrestris,F,Cirsium arvense
Bombus lucorum,M,Cirsium arvense
Bombus pratorum,M,Cirsium arvense
Bombus pratorum,M,Cirsium arvense
Bombus lapidarius.,F,Cirsium arvense
